How did you come up with this crazy idea?	どのようにこのクレイジーなアイデアを思い付いたのですか？
I'm tired.	つかれた。
Who wants some hot chocolate?	誰がいくつかのホットチョコレートを望んでいますか？
Speak more slowly, please!	もっとゆっくり話し、してください！
When do we arrive?	私たちはいつ届くのですか？
The check, please.	お勘定をお願いします。
And what are we going to do?	そして、私たちは何をするつもりですか？
I have a headache.	頭痛がします。
Where can one make a phone call?	どこ1は、電話をかけることができますか？
I must admit that I snore.	私はいびきをかくことを認めなければなりません。
Tonight we're going to church.	今夜は、私たちは教会に行っています。
How are you? Did you have a good trip?	お元気ですか？良い旅でしたか？
I don't feel well.	具合がよくありません。
Call the police!	警察を呼ぶ！
It's too expensive!	これは高すぎる！
She's faking sleep. That's why she's not snoring.	彼女は睡眠を偽造です。彼女はいびきいない理由です。
My shoes are too small. I need new ones.	私の靴は小さすぎます。私は新しいものを必要としています。
We're getting out of here. The cops are coming.	私たちは、ここから取得しています。警官が来ています。
Merry Christmas!	メリークリスマス！
It would be so cool if I could speak ten languages!	それは私が10の言語を話すことができればとてもクールになります！
If you're tired, why don't you go to sleep? "Because if I go to sleep now I will wake up too early."	あなたが疲れている場合は、なぜあなたは眠りに行きませんか？ 「私は今、睡眠に行く場合、私はあまりにも早く目を覚ますだろうから。」
You should have listened to me.	あなたは私に耳を傾けている必要があります。
It's a complete mess, and it's getting on my nerves.	それは完全な混乱だし、それは私の神経になってきました。
When the body is touched, receptors in the skin send messages to the brain causing the release of chemicals such as endorphins.	体に触れると、皮膚の受容体は、エンドルフィンなどの化学物質の放出を引き起こす脳にメッセージを送信します。
What does it involve?	それは何を必要とするのでしょうか？
One hundred and fifty thousand couples are expected to get married in Shanghai in 2006.	百組の5万カップルは、2006年に上海で結婚することが期待されます。
Those selected will have to face extensive medical and psychological tests.	選択されたものは、大規模な医療や心理テストに直面する必要があります。
Half a million children still face malnutrition in Niger.	ハーフ万人の子どもたちがまだニジェールで栄養失調に直面しています。
It will take five to ten years for the technology to be ready.	技術は準備ができていることが5〜10年かかります。
Bicycles are tools for urban sustainability.	自転車は、都市の持続可能性のためのツールです。
The French government has launched an online game that challenges taxpayers to balance the national budget.	フランス政府は、国家予算のバランスをとるために納税者に挑戦オンラインゲームを開始しました。
He would be glad to hear that.	彼はそれを聞いて喜んでいるだろう。
What do you believe is true even though you cannot prove it?	あなたが信じていることは、あなたがそれを証明することができないにもかかわらず、本当ですか？
Computers make people stupid.	コンピュータは、人々が愚かにします。
Don't ask what they think. Ask what they do.	彼らが何を考えて聞かないでください。彼らは何をすべきか確認して下さい。
When you're trying to prove something, it helps to know it's true.	あなたが何かを証明しようとしたら、それは本当のことを知っているのに役立ちます。
What changes the world is communication, not information.	どのような世界を変えることは通信、ではない情報です。
Most scientific breakthroughs are nothing else than the discovery of the obvious.	ほとんどの科学的なブレークスルーは、明らかなの発見よりも何もありません。
If you don't understand something, it's because you aren't aware of its context.	あなたが何かを理解していない場合は、その状況を認識していないので、それはです。
The past can only be known, not changed. The future can only be changed, not known.	過去には、唯一知られ、変更はできません。将来は唯一知られていない、変更することができます。
The key question is not what can I gain but what do I have to lose.	重要な問題は、私が何を得ることができないですが、私は失うために何を持っています。
Anything that can be misunderstood will be.	誤解されることができます何かになります。
Any universe simple enough to be understood is too simple to produce a mind able to understand it.	理解すべき宇宙シンプル十分にそれを理解することができ、心を生成するにはあまりにも簡単です。
Why is life so full of suffering?	なぜ人生は苦しみに満ちているのですか？
Despite the importance of sleep, its purpose is a mystery.	睡眠の重要性にもかかわらず、その目的は謎です。
What does it mean to have an educated mind in the 21st century?	それは、21世紀に教育を受けた心を持つことが何を意味するのでしょうか？
Passion creates suffering.	情熱は苦しみを作成します。
The train from Geneva will arrive at the station.	ジュネーブから電車が駅に到着します。
I would like to give him a present for his birthday.	私は彼に彼の誕生日のために本を与えたいと思います。
I'm starving!	私はお腹が空いています！
Do you have friends in Antigua?	あなたは、アンティグアで友人を持っていますか？
A cubic meter corresponds to 1000 liters.	立方メートルは千リットルに相当します。
I have so much work that I will stay for one more hour.	私は1時間以上滞在することをそんなに仕事を持っています。
I am married and have two children.	私は結婚していますと2人の子供を持っています。
He plays the piano very well.	彼は非常によくピアノを果たしています。
