She is down with a cold.	彼女は風邪で寝ている。
How would you like your eggs?	卵はどう料理しましょうか。
This dress suits you well.	このドレスは君によく似合う。
See you soon.	ではまた近々。
I'll send my mother a letter.	母に手紙を出します。
He was bewildered.	彼は戸惑っていた。
I am a realistic person.	私は現実的な人間だ。
Two o'clock would be OK.	２時でいい。
Who is next?	次は誰。
I'll do it.	私がやります。
Tom can't refuse.	トムは断ることができない。
Are you married?	結婚していますか。
He caught a terrible cold.	彼は酷い風邪をひいた。
He didn't turn up after all.	彼は結局姿を見せなかった。
Do you accept credit cards?	支払いにカードは使えますか？
I apologized.	謝った。
My hands and legs are swollen.	手足がむくんでいます。
I'm bleeding badly.	出血がひどいのです。
This is what I need.	これが私が必要とするものです。
We expected him to support us.	我々は彼が支持してくれるものと思っていた。
I'll look it over later.	あとで添削せにゃ。
I smoked when I was young.	私は若いころ煙草を吸った。
I needed money.	私には金が必要だった。
She can skate.	彼女はスケートが出来る。
Let's have a go at it.	試しにやってみよう。
I remember him well.	私は彼をよく覚えている。
I had fun.	楽しかった。
That TV is too loud.	そのテレビの音は大きすぎる。
I began living by myself.	一人暮らしをはじめた。
I'm a professor.	私は大学教授です。
What are you thinking of?	何考えてるの？
He proofread my manuscript.	彼は私の原稿にざっと目を通してくれた。
I'll give you a book.	あなたに本をあげましょう。
Tom talks a lot.	トムはよくしゃべる。
I'll pay my bill.	自分の勘定は自分で払います。
She has a bad head cold.	彼女はヒドイ鼻かぜをひいている。
They were standing in a row.	彼らは一列に並んで立っていた。
I don't love her anymore.	俺はもう彼女を愛していないんだ。
The spy burned the papers.	そのスパイは書類を燃やした。
Don't cry in public.	外で泣くな。
Our first class is math.	私たちの最初の授業は数学です。
I want to live.	生きたい。
I made a mistake.	間違えました。
He's really into soccer.	彼はサッカーに夢中だ。
Tom is getting better.	トムは良くなってきている。
The plan is bound to succeed.	その計画は必ず成功する。
Smile.	にっこり笑って。
I'll come home at ten.	１０時に帰ります。
It is not as good as it looks.	それは見かけ倒しだ。
I won't cry.	泣くもんか。
I don't mind hot weather.	僕は暑い天気も気にならない。
I'll accept your offer.	あなたの申し出を承知しました。
I'll be in touch.	また連絡します。
I have to cover his loss.	あいつの損を埋めてやらなくちゃならないんだ。
The hot water isn't running.	お湯が出ません。
Tom is afraid of death.	トムは死を恐れている。
You'd better go home.	あなたは家に帰った方がよい。
The universe is endless.	宇宙は無限だ。
Ask anybody.	誰にでもいいから訊いてみてください。
I'm aware that you failed.	君の不首尾は承知している。
I do not fear death.	私は死ぬことを恐れていません。
We have enough time.	時間は十分にある。
I believe he is a nice guy.	彼はいいやつだと思う。
Traveling is a lot of fun.	旅行に行くのはとても楽しい。
Why was I so stupid?	なんでそう馬鹿だったんだろう？
These roses are beautiful.	この薔薇は美しい。
It's a little cold today.	今日はちょっと寒い。
Tom walked over to the desk.	トムは机の方へ歩いていった。
Can you find it?	見つけられますか。
Tom disagreed.	トムは異議を唱えた。
Can you lower the price?	安く出来ませんか？
My younger sister is famous.	私の妹は有名だ。
What did you want to do?	何がしたかったの？
Pitch the ball.	そのボール投げて。
They are a good couple.	彼らはお似合いのカップルです。
Who said that to you?	それ誰に言われたの？
Tom is in a lot of trouble.	トムはとても困った状況に陥っている。
Everyone dreams.	みんな夢を見る。
Do you have any objections?	何か異議がありますか？
Tom is still crying.	トムはまだ泣いている。
We're calling the police.	警察に電話しています。
Tom is lazy.	トムは怠け者。
The book is easy.	その本は簡単です。
I think that it's too big.	大きすぎると思います。
My university has dormitories.	私の大学には寮があります。
Tom burst out crying.	トムは泣き出した。
I lost an earring.	イヤリングを片方失くした。
Have you ever donated blood?	献血をしたことはありますか？
Is it for here?	こちらで召し上がりますか。
I wish you spoke French.	貴方がフランス語を喋れればよかったのに。
Why did you quit?	なぜやめたのですか。
Are you a student?	学生さんですか？
Tom made Mary wash his car.	トムは自分の車をメアリーに洗わせた。
I can't speak English at all.	英語はさっぱり話せません。
We weren't at home yesterday.	私達は昨日家にいなかった。
Tom bought Mary a gift.	トムはメアリーにプレゼントを買った。
He's accustomed to traveling.	彼は旅慣れている。
Open your mouth wide.	口を大きく開けて。
She likes that bass.	彼女は、あのベースが好き。
Come on any day you like.	いつでも好きな日に来なさい。
