I have too many things on my mind these days.	私は、これらの日私の心にあまりにも多くのものを持っています。
I just wanted to check my email.	私はちょうど私の電子メールをチェックしたいです。
Do you really need to ask the question to know the answer?	あなたは本当に答えを知るために質問をする必要がありますか？
You can't expect me to always think of everything!	あなたは私はいつもすべてを考えるように期待することはできません！
I suppose that behind each thing we have to do, there's something we want to do...	私たちがしなければならない各事の後ろに、私たちがやりたい何かがあることを仮定し...
You really don't have the right priorities!	あなたは本当に正しい優先順位を持っていません！
Don't expect others to think for you!	他の人があなたのために考えることを期待してはいけません！
You never have time for important things!	あなたは重要な事柄のための時間を持っていることはありません！
It's no use pretending to make me believe that I believe things you don't believe!	それは私が、私はあなたが信じていない事を信じていることを信じさせるためにふり使用ですありません！
It would take me too much time to explain to you why it's not going to work.	それは私にそれが仕事に行くのではないです、なぜあなたに説明するためにあまりにも多くの時間がかかります。
I'm so dumb... I'm trying to explain things to you that I don't understand myself.	私は自分自身を理解していないことをあなたに物事を説明しようとしている...ので、ダムです。
Stop seeing me as a "normal" person!	停止は、「正常な」人として私を見て！
Are you referring to me?	あなたは私に言及していますか？
There will always be things I will never learn, I don't have eternity before me!	いつも私は私の前に永遠を持っていない、私は学ぶことは決してありませんものがあるでしょう！
It can't be!	それはすることはできません！
I wish I could care more about my grades but it seems that, at a certain point of my life, I decided they wouldn't be so important anymore.	私は私が私の成績についてもっと気にことがしたいが、私の人生のある時点で、私は、彼らはもうそれほど重要ではないであろうことを決めた、ということらしいです。
A rolling stone gathers no moss is a proverb.	転がる石のひだには苔ことわざではありません。
Would you like something to drink?	何かお飲み物はいかがですか？
Who is it? "It's your mother."	どなた？ 「それはあなたのお母さんです。」
When will you be back? "It all depends on the weather."	いつ戻りますか「天候次第です」
What's the matter? asked the little white rabbit.	どうしたの？小さい白いウサギを尋ねました。
What's going on in the cave? I'm curious. "I have no idea."	何が洞窟の中で起こっているのですか？私は興味がある。 "何も思いつきません。"
